Phase Durations,Average Waiting Time
"(10, 10, 10, 10)",6.727264192360787
"(10, 10, 10, 20)",10.257927789169894
"(10, 10, 10, 30)",13.787689471586429
"(10, 10, 10, 40)",17.349948608433788
"(10, 10, 20, 10)",10.448555271628209
"(10, 10, 20, 20)",14.00469592476211
"(10, 10, 20, 30)",17.46959616435859
"(10, 10, 20, 40)",21.312364840473535
"(10, 10, 30, 10)",14.289077052256832
"(10, 10, 30, 20)",17.63544331061544
"(10, 10, 30, 30)",21.42739892182233
"(10, 10, 30, 40)",23.90643991181378
"(10, 10, 40, 10)",17.918254352857698
"(10, 10, 40, 20)",21.66900433218656
"(10, 10, 40, 30)",23.988979801096587
"(10, 10, 40, 40)",27.756520427833408
"(10, 20, 10, 10)",5.306782626034096
"(10, 20, 10, 20)",8.791921306428723
"(10, 20, 10, 30)",10.964493207637101
"(10, 20, 10, 40)",14.462577575381125
"(10, 20, 20, 10)",8.158299927703876
"(10, 20, 20, 20)",11.004872631053457
"(10, 20, 20, 30)",14.412277281646055
"(10, 20, 20, 40)",16.550519397173098
"(10, 20, 30, 10)",11.258483154317327
"(10, 20, 30, 20)",14.460810241455274
"(10, 20, 30, 30)",16.848472601510156
"(10, 20, 30, 40)",20.822663944215623
"(10, 20, 40, 10)",14.69869077346503
"(10, 20, 40, 20)",17.047522712043694
"(10, 20, 40, 30)",21.06838244869425
"(10, 20, 40, 40)",23.175826808857824
"(10, 30, 10, 10)",7.005476454917631
"(10, 30, 10, 20)",9.01900314577923
"(10, 30, 10, 30)",10.843271182946365
"(10, 30, 10, 40)",13.698303196669396
"(10, 30, 20, 10)",9.255411792052117
"(10, 30, 20, 20)",10.893339049519152
"(10, 30, 20, 30)",14.134637283266606
"(10, 30, 20, 40)",17.662955331465223
"(10, 30, 30, 10)",10.93039445982339
"(10, 30, 30, 20)",14.479505005282354
"(10, 30, 30, 30)",17.826300327059318
"(10, 30, 30, 40)",20.55295123692456
"(10, 30, 40, 10)",13.77293022786208
"(10, 30, 40, 20)",17.761157986971263
"(10, 30, 40, 30)",19.986306064505474
"(10, 30, 40, 40)",24.723659082729718
"(10, 40, 10, 10)",9.310922614786314
"(10, 40, 10, 20)",10.631546832012157
"(10, 40, 10, 30)",12.896108511254752
"(10, 40, 10, 40)",16.251528865851018
"(10, 40, 20, 10)",10.73032779073688
"(10, 40, 20, 20)",13.42019801808114
"(10, 40, 20, 30)",15.75650077697155
"(10, 40, 20, 40)",18.229283059090296
"(10, 40, 30, 10)",12.2505305653514
"(10, 40, 30, 20)",15.51131795172322
"(10, 40, 30, 30)",17.45529687651502
"(10, 40, 30, 40)",21.48706326405466
"(10, 40, 40, 10)",16.989893093747057
"(10, 40, 40, 20)",17.628231763274787
"(10, 40, 40, 30)",21.880972150870072
"(10, 40, 40, 40)",23.853866493874087
"(20, 10, 10, 10)",10.154832623573238
"(20, 10, 10, 20)",14.082673426246581
"(20, 10, 10, 30)",16.852474138137328
"(20, 10, 10, 40)",20.36319939294975
"(20, 10, 20, 10)",14.180278857951997
"(20, 10, 20, 20)",17.051217513189314
"(20, 10, 20, 30)",20.382777694828018
"(20, 10, 20, 40)",23.12404306347808
"(20, 10, 30, 10)",17.423489255836593
"(20, 10, 30, 20)",20.724497997695757
"(20, 10, 30, 30)",23.38401553112126
"(20, 10, 30, 40)",26.713959208649666
"(20, 10, 40, 10)",21.18283448822576
"(20, 10, 40, 20)",23.539045993771712
"(20, 10, 40, 30)",27.157773753388966
"(20, 10, 40, 40)",29.375263396971256
"(20, 20, 10, 10)",6.805269710733024
"(20, 20, 10, 20)",10.347525693433187
"(20, 20, 10, 30)",13.824387279356051
"(20, 20, 10, 40)",16.29505882188996
"(20, 20, 20, 10)",11.014829087151687
"(20, 20, 20, 20)",14.01280749121939
"(20, 20, 20, 30)",16.83287159928546
"(20, 20, 20, 40)",19.58522856980085
"(20, 20, 30, 10)",14.309603750305323
"(20, 20, 30, 20)",17.22036043178057
"(20, 20, 30, 30)",19.933932272158405
"(20, 20, 30, 40)",23.053320485938958
"(20, 20, 40, 10)",17.131384635987196
"(20, 20, 40, 20)",20.13507455976072
"(20, 20, 40, 30)",22.90252463720998
"(20, 20, 40, 40)",27.398448653733084
"(20, 30, 10, 10)",8.828679049245649
"(20, 30, 10, 20)",11.209033011263875
"(20, 30, 10, 30)",13.919741151848182
"(20, 30, 10, 40)",17.16996055755731
"(20, 30, 20, 10)",11.319695858022417
"(20, 30, 20, 20)",14.547061989285485
"(20, 30, 20, 30)",16.875925160858568
"(20, 30, 20, 40)",20.477868131561184
"(20, 30, 30, 10)",13.767036443170252
"(20, 30, 30, 20)",17.0017165014096
"(20, 30, 30, 30)",20.005687286986607
"(20, 30, 30, 40)",23.45150160785578
"(20, 30, 40, 10)",18.138876085234884
"(20, 30, 40, 20)",20.318636577315523
"(20, 30, 40, 30)",23.9220566184173
"(20, 30, 40, 40)",25.40872465876418
"(20, 40, 10, 10)",10.024260563602205
"(20, 40, 10, 20)",12.409263501579336
"(20, 40, 10, 30)",15.370688712704663
"(20, 40, 10, 40)",20.00511181495457
"(20, 40, 20, 10)",11.107737857842192
"(20, 40, 20, 20)",15.065136345017654
"(20, 40, 20, 30)",17.70928691064919
"(20, 40, 20, 40)",20.76976651525887
"(20, 40, 30, 10)",16.259940763754074
"(20, 40, 30, 20)",17.98733638109162
"(20, 40, 30, 30)",21.40057338583405
"(20, 40, 30, 40)",23.387714710419043
"(20, 40, 40, 10)",19.20059503720415
"(20, 40, 40, 20)",21.766216688539945
"(20, 40, 40, 30)",23.46447403693473
"(20, 40, 40, 40)",26.499084916172304
"(30, 10, 10, 10)",14.07490902948101
"(30, 10, 10, 20)",17.282370903242374
"(30, 10, 10, 30)",20.298022788286705
"(30, 10, 10, 40)",23.55241775319586
"(30, 10, 20, 10)",17.824161245448288
"(30, 10, 20, 20)",20.604650241481647
"(30, 10, 20, 30)",23.9843874166302
"(30, 10, 20, 40)",27.116409920013954
"(30, 10, 30, 10)",21.014183283943815
"(30, 10, 30, 20)",24.272032693651305
"(30, 10, 30, 30)",27.544223683658366
"(30, 10, 30, 40)",30.423871346186978
"(30, 10, 40, 10)",24.977102225548066
"(30, 10, 40, 20)",27.9661709125974
"(30, 10, 40, 30)",30.766249101813244
"(30, 10, 40, 40)",35.09607799226964
"(30, 20, 10, 10)",10.958676420258673
"(30, 20, 10, 20)",13.864348866166512
"(30, 20, 10, 30)",17.226214118847306
"(30, 20, 10, 40)",20.162967152755563
"(30, 20, 20, 10)",14.187828094009161
"(30, 20, 20, 20)",17.845625254418557
"(30, 20, 20, 30)",20.116567047023683
"(30, 20, 20, 40)",23.394013886940296
"(30, 20, 30, 10)",17.641911464418158
"(30, 20, 30, 20)",20.38136265484975
"(30, 20, 30, 30)",23.24869018705523
"(30, 20, 30, 40)",26.53552711497929
"(30, 20, 40, 10)",21.462063396847512
"(30, 20, 40, 20)",23.693834232809238
"(30, 20, 40, 30)",27.020979287325098
"(30, 20, 40, 40)",28.713696922838974
"(30, 30, 10, 10)",11.856394062733829
"(30, 30, 10, 20)",15.831443709826615
"(30, 30, 10, 30)",17.62498649395516
"(30, 30, 10, 40)",22.180225647446658
"(30, 30, 20, 10)",14.90993252119948
"(30, 30, 20, 20)",17.679894916519338
"(30, 30, 20, 30)",20.7595472249017
"(30, 30, 20, 40)",23.726603201253138
"(30, 30, 30, 10)",18.8628106539354
"(30, 30, 30, 20)",21.106798272647602
"(30, 30, 30, 30)",24.329942849677806
"(30, 30, 30, 40)",26.245687208954266
"(30, 30, 40, 10)",22.190652772597506
"(30, 30, 40, 20)",24.6921809209077
"(30, 30, 40, 30)",26.534248600463684
"(30, 30, 40, 40)",30.001000884572484
"(30, 40, 10, 10)",11.334427891948094
"(30, 40, 10, 20)",15.437642559391074
"(30, 40, 10, 30)",19.059873651347928
"(30, 40, 10, 40)",21.075443464610974
"(30, 40, 20, 10)",16.79161942073365
"(30, 40, 20, 20)",18.536617672734963
"(30, 40, 20, 30)",21.542594151265764
"(30, 40, 20, 40)",23.7131945152808
"(30, 40, 30, 10)",19.123979782711725
"(30, 40, 30, 20)",22.095327113761225
"(30, 40, 30, 30)",23.818762433801535
"(30, 40, 30, 40)",27.436435435506112
"(30, 40, 40, 10)",23.065906072967216
"(30, 40, 40, 20)",23.781935986766715
"(30, 40, 40, 30)",27.286107369748752
"(30, 40, 40, 40)",31.048149501775228
"(40, 10, 10, 10)",17.143572393803233
"(40, 10, 10, 20)",19.83017389348436
"(40, 10, 10, 30)",24.19179879031813
"(40, 10, 10, 40)",26.76763757576091
"(40, 10, 20, 10)",20.32032459642002
"(40, 10, 20, 20)",24.65958609683709
"(40, 10, 20, 30)",27.008125166951476
"(40, 10, 20, 40)",30.84983261175447
"(40, 10, 30, 10)",25.145609313085
"(40, 10, 30, 20)",27.483656390489504
"(40, 10, 30, 30)",31.15326548649528
"(40, 10, 30, 40)",33.32316705903403
"(40, 10, 40, 10)",28.246693609393702
"(40, 10, 40, 20)",31.567322084568538
"(40, 10, 40, 30)",33.67511455912596
"(40, 10, 40, 40)",35.76781156692617
"(40, 20, 10, 10)",14.468139921697556
"(40, 20, 10, 20)",18.29152522902637
"(40, 20, 10, 30)",19.900965322645305
"(40, 20, 10, 40)",24.86281567550824
"(40, 20, 20, 10)",18.029100137090293
"(40, 20, 20, 20)",20.278148312411478
"(40, 20, 20, 30)",23.94874271148252
"(40, 20, 20, 40)",25.73364867861555
"(40, 20, 30, 10)",21.4892494473479
"(40, 20, 30, 20)",24.44450872413914
"(40, 20, 30, 30)",26.410683325681212
"(40, 20, 30, 40)",28.814351937698948
"(40, 20, 40, 10)",25.326091511591603
"(40, 20, 40, 20)",26.766260400038778
"(40, 20, 40, 30)",29.24193890356718
"(40, 20, 40, 40)",32.52378632111202
"(40, 30, 10, 10)",14.603968621663778
"(40, 30, 10, 20)",17.685278571255004
"(40, 30, 10, 30)",21.15925085284722
"(40, 30, 10, 40)",23.122167288815067
"(40, 30, 20, 10)",19.022985142548695
"(40, 30, 20, 20)",21.11080415552553
"(40, 30, 20, 30)",23.35773697143289
"(40, 30, 20, 40)",25.830092190193724
"(40, 30, 30, 10)",22.139054351608067
"(40, 30, 30, 20)",23.900166814313867
"(40, 30, 30, 30)",25.984978547417604
"(40, 30, 30, 40)",29.484543196817963
"(40, 30, 40, 10)",25.318374566949412
"(40, 30, 40, 20)",26.23158098100363
"(40, 30, 40, 30)",29.524139261670108
"(40, 30, 40, 40)",33.43399162141233
"(40, 40, 10, 10)",16.877828848540894
"(40, 40, 10, 20)",19.434689492165603
"(40, 40, 10, 30)",21.541001224712303
"(40, 40, 10, 40)",25.260841711250507
"(40, 40, 20, 10)",19.839427461556035
"(40, 40, 20, 20)",21.914921327256454
"(40, 40, 20, 30)",23.75477629313143
"(40, 40, 20, 40)",27.594781826621386
"(40, 40, 30, 10)",23.231068294163954
"(40, 40, 30, 20)",23.79615535179241
"(40, 40, 30, 30)",27.510255993392455
"(40, 40, 30, 40)",30.442628428324007
"(40, 40, 40, 10)",26.016766201988013
"(40, 40, 40, 20)",27.62722022544549
"(40, 40, 40, 30)",31.055869247811092
"(40, 40, 40, 40)",33.046695476171664
